ds,yhat,charging_sessions
2017-01-31,21567.830951063097,32351.746426594647
2017-02-28,22981.017480739938,34471.5262211099
2017-03-31,22991.54848737577,34487.32273106366
2017-04-30,23649.18611691938,35473.779175379066
2017-05-31,24009.032334706913,36013.54850206037
2017-06-30,24621.53504877593,36932.3025731639
2017-07-31,25777.093352843454,38665.64002926518
2017-08-31,26612.373206010783,39918.55980901617
2017-09-30,26978.033992054658,40467.05098808199
2017-10-31,27869.486816697427,41804.230225046136
2017-11-30,28653.742504795697,42980.61375719355
2017-12-31,28759.31713260158,43138.97569890237
2018-01-31,29755.351502972302,44633.02725445845
2018-02-28,30351.05140929283,45526.577113939245
2018-03-31,30873.828403871463,46310.742605807194
2018-04-30,32044.59014548673,48066.8852182301
2018-05-31,32867.31997164807,49300.9799574721
2018-06-30,34006.71535947573,51010.0730392136
2018-07-31,35289.444097447486,52934.16614617123
2018-08-31,36809.109153186124,55213.66372977919
2018-09-30,37497.40169851267,56246.10254776901
2018-10-31,39037.562014349875,58556.34302152481
2018-11-30,40132.874272197696,60199.31140829655
2018-12-31,40981.962268021285,61472.94340203193
2019-01-31,42736.06392510313,64104.095887654694
2019-02-28,42450.3996280273,63675.59944204095
2019-03-31,43433.01202926556,65149.518043898344
2019-04-30,45054.5793231868,67581.8689847802
2019-05-31,46267.47968632198,69401.21952948297
2019-06-30,47437.074148256695,71155.61122238505
2019-07-31,48342.458454225765,72513.68768133865
2019-08-31,50044.87245812418,75067.30868718626
2019-09-30,50568.12856684289,75852.19285026434
2019-10-31,52058.769454045694,78088.15418106854
2019-11-30,52791.63147626561,79187.44721439842
2019-12-31,53689.898751608554,80534.84812741283
2020-01-31,55769.423898903566,83654.13584835535
2020-02-29,56098.25232244635,84147.37848366953
2020-03-31,56204.02570223068,84306.03855334602
2020-04-30,56923.75694865982,85385.63542298973
2020-05-31,57407.66532133664,86111.49798200495
2020-06-30,58265.8052173377,87398.70782600655
2020-07-31,60101.80643985105,90152.70965977656
2020-08-31,61063.62381555549,91595.43572333324
2020-09-30,61891.0699559002,92836.6049338503
2020-10-31,62942.427316174704,94413.64097426206
2020-11-30,64200.4308267575,96300.64624013625
2020-12-31,65088.69621292072,97633.04431938108
2021-01-31,66264.07549918743,99396.11324878114
2021-02-28,68597.5320419216,102896.2980628824
2021-03-31,69626.9334201619,104440.40013024287
2021-04-30,71270.57463513152,106905.86195269728
2021-05-31,72932.58381703334,109398.87572555002
2021-06-30,74805.24423830828,112207.86635746242
2021-07-31,77262.96550517408,115894.44825776113
2021-08-31,79401.99813681994,119102.99720522991
2021-09-30,81029.3551601032,121544.0327401548
2021-10-31,83224.48660664828,124836.72990997242
2021-11-30,85270.3667675593,127905.55015133895
2021-12-31,86679.62001726744,130019.43002590117
2022-01-31,88695.36423417281,133043.04635125923
2022-02-28,90212.09238896932,135318.13858345398
2022-03-31,91753.45209106688,137630.17813660033
2022-04-30,93909.93903535306,140864.90855302959
2022-05-31,95751.25157093714,143626.87735640572
2022-06-30,97666.00078109032,146499.00117163546
2022-07-31,99749.9284687906,149624.8927031859
2022-08-31,102070.79247426355,153106.1887113953
2022-09-30,105540.07332245108,158310.1099836766
2022-10-31,109953.92155124627,164930.8823268694
2022-11-30,113830.14314745743,170745.21472118614
2022-12-31,117552.837459587,176329.25618938048
2023-01-31,122180.54543297093,183270.8181494564
2023-02-28,124490.39652225723,186735.59478338584
2023-03-31,128346.615244104,192519.922866156
2023-04-30,132749.0918805585,199123.63782083773
2023-05-31,136836.60462940525,205254.90694410788
2023-06-30,140788.0820452557,211182.12306788354
2023-07-31,144569.06968396707,216853.60452595062
2023-08-31,149147.08702061244,223720.63053091866
2023-09-30,152453.18506424752,228679.77759637128
2023-10-31,157013.78470457898,235520.67705686847
2023-11-30,160717.57455240458,241076.36182860687
2023-12-31,164685.80058087644,247028.70087131468
2024-01-31,169836.63727893413,254754.9559184012
2024-02-29,173038.62812093823,259557.94218140736
2024-03-31,176215.71305148856,264323.5695772328
2024-04-30,179909.08100087923,269863.6215013189
2024-05-31,183465.74729994652,275198.6209499198
2024-06-30,187297.52390164937,280946.28585247404
2024-07-31,192206.28305338178,288309.42458007263
2024-08-31,196240.858358309,294361.2875374635
2024-09-30,200041.5877868223,300062.3816802334
2024-10-31,204165.33787819865,306248.006817298
2024-11-30,208396.6246769503,312594.9370154255
2024-12-31,211644.11664748043,317466.17497122067
2025-01-31,215178.72251811568,322768.08377717354
2025-02-28,219642.5463099727,329463.8194649591
2025-03-31,223030.56857117507,334545.8528567626
2025-04-30,226956.74612448632,340435.1191867295
2025-05-31,230694.08359403064,346041.12539104593
2025-06-30,234575.1262291511,351862.6893437266
2025-07-31,239108.17578365962,358662.26367548946
2025-08-31,243320.94688726802,364981.42033090204
2025-09-30,246955.14759309264,370432.72138963896
2025-10-31,251223.3489838179,376835.02347572683
2025-11-30,255275.4258649005,382913.13879735075
2025-12-31,258757.7490587874,388136.6235881811
2026-01-31,262846.5632191918,394269.8448287877
2026-02-28,266235.7416455494,399353.61246832414
2026-03-31,269850.1712911465,404775.25693671976
2026-04-30,274012.85495310643,411019.2824296596
2026-05-31,277927.23743028706,416890.8561454306
2026-06-30,281848.18336080766,422772.2750412115
2026-07-31,286005.18099289614,429007.7714893442
2026-08-31,290399.11494275386,435598.67241413076
2026-09-30,293868.3957909396,440802.5936864094
2026-10-31,298282.24401973444,447423.36602960166
2026-11-30,302158.46561594255,453237.6984239138
2026-12-31,305881.1599280741,458821.73989211116
2027-01-31,310508.8679014581,465763.30185218714
2027-02-28,312818.7189907455,469228.07848611823
